bar_id,section,length_mm,qty,kind
M0078,L90×8,3578,1,HORIZ
M0079,L90×8,3578,1,HORIZ
M0080,L90×8,3578,1,HORIZ
M0081,L90×8,3302,1,HORIZ
M0082,L90×8,3302,1,HORIZ
M0083,L90×8,3302,1,HORIZ
M0084,L90×8,3302,1,HORIZ
M0085,L90×8,3025,1,HORIZ
M0086,L90×8,3025,1,HORIZ
M0087,L90×8,3025,1,HORIZ
M0088,L90×8,3025,1,HORIZ
M0089,L90×8,2748,1,HORIZ
M0090,L90×8,2748,1,HORIZ
M0091,L90×8,2748,1,HORIZ
M0092,L90×8,2748,1,HORIZ
M0093,L90×8,2471,1,HORIZ
M0094,L90×8,2471,1,HORIZ
M0095,L90×8,2471,1,HORIZ
M0096,L90×8,2471,1,HORIZ
M0097,L90×8,2194,1,HORIZ
M0098,L90×8,2194,1,HORIZ
M0099,L90×8,2194,1,HORIZ
M0100,L90×8,2194,1,HORIZ
M0101,L90×8,1917,1,HORIZ
M0102,L90×8,1917,1,HORIZ
M0103,L90×8,1917,1,HORIZ
M0104,L90×8,1917,1,HORIZ
M0105,L90×8,1640,1,HORIZ
M0106,L90×8,1640,1,HORIZ
M0107,L90×8,1640,1,HORIZ
M0108,L90×8,1640,1,HORIZ
M0109,L75×6,5253,1,DIAG
M0110,L75×6,5253,1,DIAG
M0111,L75×6,5253,1,DIAG
M0112,L75×6,5253,1,DIAG
M0113,L75×6,5253,1,DIAG
M0114,L75×6,5253,1,DIAG
M0115,L75×6,5253,1,DIAG
M0116,L75×6,5253,1,DIAG
M0117,L75×6,4985,1,DIAG
M0118,L75×6,4985,1,DIAG
M0119,L75×6,4985,1,DIAG
M0120,L75×6,4985,1,DIAG
M0121,L75×6,4985,1,DIAG
M0122,L75×6,4985,1,DIAG
M0123,L75×6,4985,1,DIAG
M0124,L75×6,4985,1,DIAG
M0125,L75×6,4717,1,DIAG
M0126,L75×6,4717,1,DIAG
M0127,L75×6,4717,1,DIAG
M0128,L75×6,4717,1,DIAG
M0129,L75×6,4717,1,DIAG
M0130,L75×6,4717,1,DIAG
M0131,L75×6,4717,1,DIAG
M0132,L75×6,4717,1,DIAG
M0133,L75×6,4451,1,DIAG
M0134,L75×6,4451,1,DIAG
M0135,L75×6,4451,1,DIAG
M0136,L75×6,4451,1,DIAG
M0137,L75×6,4451,1,DIAG
M0138,L75×6,4451,1,DIAG
M0139,L75×6,4451,1,DIAG
M0140,L75×6,4451,1,DIAG
M0141,L75×6,4186,1,DIAG
M0142,L75×6,4186,1,DIAG
M0143,L75×6,4186,1,DIAG
M0144,L75×6,4186,1,DIAG
M0145,L75×6,4186,1,DIAG
M0146,L75×6,4186,1,DIAG
M0147,L75×6,4186,1,DIAG
M0148,L75×6,4186,1,DIAG
M0149,L75×6,3923,1,DIAG
M0150,L75×6,3923,1,DIAG
M0151,L75×6,3923,1,DIAG
M0152,L75×6,3923,1,DIAG
M0153,L75×6,3923,1,DIAG
M0154,L75×6,3923,1,DIAG
M0155,L75×6,3923,1,DIAG
M0156,L75×6,3923,1,DIAG
M0157,L75×6,3661,1,DIAG
M0158,L75×6,3661,1,DIAG
M0159,L75×6,3661,1,DIAG
M0160,L75×6,3661,1,DIAG
M0161,L75×6,3661,1,DIAG
M0162,L75×6,3661,1,DIAG
M0163,L75×6,3661,1,DIAG
M0164,L75×6,3661,1,DIAG
M0165,L75×6,3403,1,DIAG
M0166,L75×6,3403,1,DIAG
M0167,L75×6,3403,1,DIAG
M0168,L75×6,3403,1,DIAG
M0169,L75×6,3403,1,DIAG
M0170,L75×6,3403,1,DIAG
M0171,L75×6,3403,1,DIAG
M0172,L75×6,3403,1,DIAG
M0173,L75×6,3147,1,DIAG
M0174,L75×6,3147,1,DIAG
M0175,L75×6,3147,1,DIAG
M0176,L75×6,3147,1,DIAG
M0177,L75×6,3147,1,DIAG
M0178,L75×6,3147,1,DIAG
M0179,L75×6,3147,1,DIAG
M0180,L75×6,3147,1,DIAG
M0181,L75×6,2895,1,DIAG
M0182,L75×6,2895,1,DIAG
M0183,L75×6,2895,1,DIAG
M0184,L75×6,2895,1,DIAG
M0185,L75×6,2895,1,DIAG
M0186,L75×6,2895,1,DIAG
M0187,L75×6,2895,1,DIAG
M0188,L75×6,2895,1,DIAG
M0189,L75×6,2648,1,DIAG
M0190,L75×6,2648,1,DIAG
M0191,L75×6,2648,1,DIAG
M0192,L75×6,2648,1,DIAG
M0193,L75×6,2648,1,DIAG
M0194,L75×6,2648,1,DIAG
M0195,L75×6,2648,1,DIAG
M0196,L75×6,2648,1,DIAG
M0197,L75×6,2408,1,DIAG
M0198,L75×6,2408,1,DIAG
M0199,L75×6,2408,1,DIAG
M0200,L75×6,2408,1,DIAG
M0201,L75×6,2408,1,DIAG
M0202,L75×6,2408,1,DIAG
M0203,L75×6,2408,1,DIAG
M0204,L75×6,2408,1,DIAG
M0205,L75×6,2176,1,DIAG
M0206,L75×6,2176,1,DIAG
M0207,L75×6,2176,1,DIAG
M0208,L75×6,2176,1,DIAG
M0209,L75×6,2176,1,DIAG
M0210,L75×6,2176,1,DIAG
M0211,L75×6,2176,1,DIAG
M0212,L75×6,2176,1,DIAG
M0213,L75×6,7410,1,PLAN_D
M0214,L75×6,7410,1,PLAN_D
M0215,L75×6,7019,1,PLAN_D
M0216,L75×6,7019,1,PLAN_D
M0217,L75×6,6627,1,PLAN_D
M0218,L75×6,6627,1,PLAN_D
M0219,L75×6,6236,1,PLAN_D
M0220,L75×6,6236,1,PLAN_D
M0221,L75×6,5844,1,PLAN_D
M0222,L75×6,5844,1,PLAN_D
M0223,L75×6,5452,1,PLAN_D
M0224,L75×6,5452,1,PLAN_D
M0225,L75×6,5061,1,PLAN_D
M0226,L75×6,5061,1,PLAN_D
M0227,L75×6,4669,1,PLAN_D
M0228,L75×6,4669,1,PLAN_D
M0229,L75×6,4277,1,PLAN_D
M0230,L75×6,4277,1,PLAN_D
M0231,L75×6,3886,1,PLAN_D
M0232,L75×6,3886,1,PLAN_D
M0233,L75×6,3494,1,PLAN_D
M0234,L75×6,3494,1,PLAN_D
M0235,L75×6,3103,1,PLAN_D
M0236,L75×6,3103,1,PLAN_D
M0237,L75×6,2711,1,PLAN_D
M0238,L75×6,2711,1,PLAN_D
M0239,L75×6,2319,1,PLAN_D
M0240,L75×6,2319,1,PLAN_D
M0241,L100×8,747,1,KNEE
M0242,L100×8,570,1,KNEE
M0243,L100×8,747,1,KNEE
M0244,L100×8,570,1,KNEE
M0245,L100×8,747,1,KNEE
M0246,L100×8,570,1,KNEE
M0247,L100×8,747,1,KNEE
M0248,L100×8,570,1,KNEE
M0249,L125×10,820,1,CROSS
M0250,L125×10,820,1,CROSS
M0251,L125×10,820,1,CROSS
M0252,L125×10,820,1,CROSS
M0253,L125×10,3680,1,CROSS
M0254,L125×10,2000,1,CROSS
M0255,L125×10,3680,1,CROSS
M0256,L125×10,2000,1,CROSS
M0257,L90×8,3875,1,CROSS_D
M0258,L90×8,3875,1,CROSS_D
M0259,L90×8,3875,1,CROSS_D
M0260,L90×8,3875,1,CROSS_D
M0261,L90×8,2000,1,CROSS_D
M0262,L90×8,5680,1,CROSS_D
M0263,L90×8,2000,1,CROSS_D
M0264,L90×8,5680,1,CROSS_D
M0265,L75×6,2059,1,HANG
M0266,L75×6,2059,1,HANG
M0267,L75×6,2059,1,HANG
M0268,L75×6,2059,1,HANG
M0269,L100×8,1322,1,HEAD_LEG
M0270,L100×8,1322,1,HEAD_LEG
M0271,L100×8,1322,1,HEAD_LEG
M0272,L100×8,1322,1,HEAD_LEG
M0273,L90×8,1322,1,HEAD_LEG
M0274,L90×8,1322,1,HEAD_LEG
M0275,L90×8,1322,1,HEAD_LEG
M0276,L90×8,1322,1,HEAD_LEG
M0277,L75×6,736,1,HEAD_LEG
M0278,L75×6,736,1,HEAD_LEG
M0279,L75×6,736,1,HEAD_LEG
M0280,L75×6,736,1,HEAD_LEG
M0281,L75×6,1300,1,HEAD_H
M0282,L75×6,1300,1,HEAD_H
M0283,L75×6,1300,1,HEAD_H
M0284,L75×6,1300,1,HEAD_H
M0285,L75×6,960,1,HEAD_H
M0286,L75×6,960,1,HEAD_H
M0287,L75×6,960,1,HEAD_H
M0288,L75×6,960,1,HEAD_H
M0289,L75×6,640,1,HEAD_H
M0290,L75×6,640,1,HEAD_H
M0291,L75×6,640,1,HEAD_H
M0292,L75×6,640,1,HEAD_H
M0293,L75×6,1731,1,HEAD_D
M0294,L75×6,1731,1,HEAD_D
M0295,L75×6,1731,1,HEAD_D
M0296,L75×6,1731,1,HEAD_D
M0297,L75×6,1731,1,HEAD_D
M0298,L75×6,1731,1,HEAD_D
M0299,L75×6,1731,1,HEAD_D
M0300,L75×6,1731,1,HEAD_D
M0301,L75×6,1075,1,HEAD_D
M0302,L75×6,1075,1,HEAD_D
M0303,L75×6,1075,1,HEAD_D
M0304,L75×6,1075,1,HEAD_D
M0305,L75×6,1075,1,HEAD_D
M0306,L75×6,1075,1,HEAD_D
M0307,L75×6,1075,1,HEAD_D
M0308,L75×6,1075,1,HEAD_D
M0309,L75×6,1126,1,HEAD_D
M0310,L75×6,1126,1,HEAD_D
M0311,L75×6,860,1,HEAD_D
M0312,L75×6,860,1,HEAD_D
M0313,L63×5,1204,1,HEAD_D
M0314,L63×5,1204,1,HEAD_D
M0315,L63×5,964,1,HEAD_D
M0316,L63×5,964,1,HEAD_D
